sku	title	brand_sku	brand	model	type	color	diameter	pn	pcd	pcd2	et	centerbore	sale	price	price_retail	photo_url	amount_total	amount_local	amount shopId 1	amount shopId 4	amount shopId 7	amount shopId 8	amount shopId 9	amount shopId 10	amount shopId 12	amount shopId 13	amount shopId 14	amount shopId 15	amount shopId 16	amount shopId 17	amount shopId 19	amount shopId 20	amount shopId 21	amount shopId 22	amount shopId 23	amount shopId 24	amount shopId 25	amount shopId 26	amount shopId 30	amount shopId 33	amount shopId 35	amount shopId 36	amount shopId 37	amount shopId 635	amount shopId 667	amount shopId 669	amount shopId 671	amount shopId 678	amount shopId 712	amount shopId 714	amount shopId 716	amount shopId 718	amount shopId 719	amount shopId 722	amount shopId 723	amount shopId 3012
1000181	Скад Акита 15 / 6.0J PCD 4x100.0 ET 50.00 ЦО 60.10 Литой / Графитовый	2880427	Скад	Акита	Литой / Графитовый	Grap	15 / 6.0J	4	100.0	0.0	50.00	60.10	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Акита.grap.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1000201	Скад Осака 15 / 6.0J PCD 4x100.0 ET 46.00 ЦО 54.10 Литой / Графитовый	3270427	Скад	Осака	Литой / Графитовый	Grap	15 / 6.0J	4	100.0	0.0	46.00	54.10	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Осака.grap.jpg	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1000203	Скад Осака 15 / 6.0J PCD 4x100.0 ET 50.00 ЦО 60.10 Литой / Графитовый	3270627	Скад	Осака	Литой / Графитовый	Grap	15 / 6.0J	4	100.0	0.0	50.00	60.10	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Осака.grap.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1000221	Скад Сити 15 / 6.0J PCD 5x100.0 ET 38.00 ЦО 67.10 Литой / Черный с полированной лицевой поверхностью	1302305	Скад	Сити	Литой / Черный с полированной лицевой поверхностью	BFP	15 / 6.0J	5	100.0	0.0	38.00	67.10	0	5770	6430	https://www.shinservice.ru/catalog/disk/skad/Сити.bfp.jpg	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	4	0	0	0
1000225	Скад Тор 15 / 6.5J PCD 5x139.7 ET 40.00 ЦО 98.50 Литой / Черный матовый с полированной лицевой поверхностью	1790026	Скад	Тор	Литой / Черный матовый с полированной лицевой поверхностью	MBFP	15 / 6.5J	5	139.7	0.0	40.00	98.50	0	5360	5970	https://www.shinservice.ru/catalog/disk/skad/Тор.mbfp.jpg	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
1000232	Скад Тулон 15 / 6.0J PCD 4x100.0 ET 46.00 ЦО 54.10 Литой / Черный с полированной лицевой поверхностью	2031205	Скад	Тулон	Литой / Черный с полированной лицевой поверхностью	BFP	15 / 6.0J	4	100.0	0.0	46.00	54.10	0	5770	6430	https://www.shinservice.ru/catalog/disk/skad/Тулон.bfp.jpg	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000237	Скад Le Mans 16 / 7.0J PCD 4x100.0 ET 38.00 ЦО 67.10 Литой / Насыщенный серебристый	2040108	Скад	Le Mans	Литой / Насыщенный серебристый	HS	16 / 7.0J	4	100.0	0.0	38.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Le_Mans.hs.jpg	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000255	Скад Адмирал 16 / 6.5J PCD 5x114.3 ET 50.00 ЦО 66.10 Литой / Насыщенный серебристый	1581608	Скад	Адмирал	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	114.3	0.0	50.00	66.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Адмирал.hs.jpg	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000286	Скад Вихрь 16 / 7.0J PCD 5x139.7 ET 40.00 ЦО 98.50 Литой / Черный с полированной лицевой поверхностью	1400005	Скад	Вихрь	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 7.0J	5	139.7	0.0	40.00	98.50	0	5760	6410	https://www.shinservice.ru/catalog/disk/skad/Вихрь.bfp.jpg	11	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
1000287	Скад Вихрь 16 / 7.0J PCD 5x139.7 ET 40.00 ЦО 98.50 Литой / Графитовый	1400027	Скад	Вихрь	Литой / Графитовый	Grap	16 / 7.0J	5	139.7	0.0	40.00	98.50	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Вихрь.grap.jpg	16	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	4
1000293	Скад Милан 16 / 6.5J PCD 5x114.3 ET 38.00 ЦО 67.10 Литой / Графитовый	2130127	Скад	Милан	Литой / Графитовый	Grap	16 / 6.5J	5	114.3	0.0	38.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Милан.grap.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1000296	Скад Нагано 16 / 6.5J PCD 5x100.0 ET 43.00 ЦО 57.10 Литой / Насыщенный серебристый	2060308	Скад	Нагано	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	100.0	0.0	43.00	57.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Нагано.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1000298	Скад Нагано 16 / 6.5J PCD 5x112.0 ET 38.00 ЦО 66.60 Литой / Насыщенный серебристый	2060008	Скад	Нагано	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	112.0	0.0	38.00	66.60	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Нагано.hs.jpg	4	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000308	Скад Нагоя 16 / 6.0J PCD 4x100.0 ET 41.00 ЦО 60.10 Литой / Черный с полированной лицевой поверхностью	3190005	Скад	Нагоя	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.0J	4	100.0	0.0	41.00	60.10	0	6540	7290	https://www.shinservice.ru/catalog/disk/skad/Нагоя.bfp.jpg	8	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000310	Скад Нагоя 16 / 6.0J PCD 4x100.0 ET 50.00 ЦО 60.10 Литой / Черный с полированной лицевой поверхностью	3190505	Скад	Нагоя	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.0J	4	100.0	0.0	50.00	60.10	0	6540	7290	https://www.shinservice.ru/catalog/disk/skad/Нагоя.bfp.jpg	20	20	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
1000312	Скад Рейнджер 16 / 7.0J PCD 5x139.7 ET 35.00 ЦО 109.70 Литой / Черный матовый	1880525	Скад	Рейнджер	Литой / Черный матовый	MB	16 / 7.0J	5	139.7	0.0	35.00	109.70	0	6540	7290	https://www.shinservice.ru/catalog/disk/skad/Рейнджер.mb.jpg	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
1000318	Скад Драйв 16 / 6.5J PCD 5x112.0 ET 45.00 ЦО 66.60 Литой / Насыщенный серебристый	1211108	Скад	Драйв	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	112.0	0.0	45.00	66.60	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Драйв.hs.jpg	8	8	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000328	Скад Сидней 16 / 6.0J PCD 4x100.0 ET 50.00 ЦО 60.10 Литой / Черный матовый	3150525	Скад	Сидней	Литой / Черный матовый	MB	16 / 6.0J	4	100.0	0.0	50.00	60.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Сидней.mb.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1000330	Скад Сидней 16 / 6.0J PCD 5x114.3 ET 51.00 ЦО 67.10 Литой / Насыщенный серебристый	3150608	Скад	Сидней	Литой / Насыщенный серебристый	HS	16 / 6.0J	5	114.3	0.0	51.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Сидней.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000340	Скад Сиена 16 / 6.5J PCD 5x114.3 ET 50.00 ЦО 66.10 Литой / Насыщенный серебристый	3311008	Скад	Сиена	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	114.3	0.0	50.00	66.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Сиена.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1000341	Скад Сиена 16 / 6.5J PCD 5x114.3 ET 50.00 ЦО 67.10 Литой / Графитовый	3310927	Скад	Сиена	Литой / Графитовый	Grap	16 / 6.5J	5	114.3	0.0	50.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Сиена.grap.jpg	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
